Date;Région;Département;Type de ligne;Matériel;Coût par minute;Durée de communication;Coût de communication;Qualité de la communication
01/02/2022;Hawaii;Achats;Mobile;Apple iPhone;0,11;55;6,05;4
01/05/2022;Nouvelle-Aquitaine;Production;Fixe;Siemens Gigaset a400;0,11;20;2,2;4
01/11/2021;Bourgogne-Franche-Comté;Ventes;Mobile;Samsung Galaxy;0,09;65;5,85;2
01/12/2022;Montana;SI;VoIP;Thomson st2030;0,12;40;4,8;4
01/04/2024;Écosse;Finance;VoIP;Cisco SPA 303;0,1;5;0,5;2
01/10/2021;Rhode;Island;Fixe;Siemens Gigaset a400;0,11;5;0,55;9
01/10/2022;West;Virginia;Fixe;Logicom Nova 350;0,1;20;2;7
01/01/2023;Nunavut;Achats;Mobile;Apple iPhone;0,09;25;2,25;6
01/07/2021;Mississippi;Finance;VoIP;Thomson st2030;0,11;70;7,7;6
01/08/2023;Nebraska;RH;Fixe;Logicom Nova 350;0,09;35;3,15;8
01/09/2023;Nunavut;Achats;Mobile;LG G4;0,11;60;6,6;8
01/01/2022;Delaware;Ventes;VoIP;Cisco SPA 303;0,11;60;6,6;5
01/09/2022;Manitoba;Direction;Mobile;LG G4;0,09;5;0,45;10
01/01/2022;Iowa;Ventes;Fixe;Logicom Nova 350;0,11;35;3,85;10
01/03/2024;Terre-Neuve-et-Labrador;R&D;Fixe;Logicom Nova 350;0,09;10;0,9;9
01/05/2023;Ohio;Finance;Fixe;Siemens Gigaset a400;0,09;25;2,25;6
01/01/2024;Oregon;Ventes;Fixe;Siemens Gigaset a400;0,1;30;3;5
01/06/2022;Delaware;SI;Mobile;Samsung Galaxy;0,09;5;0,45;10
01/10/2021;Grand;Est;Mobile;Apple iPhone;0,1;15;1,5;3
01/10/2023;Georgia;Juridique;Fixe;Siemens Gigaset a400;0,12;75;9;9
01/04/2022;Normandie;SI;Mobile;Apple iPhone;0,1;5;0,5;8
01/04/2022;Écosse;Juridique;Fixe;Siemens Gigaset a400;0,09;55;4,95;2
01/01/2021;Île-du-Prince-Édouard;Achats;Mobile;LG G4;0,11;45;4,95;10
01/11/2022;Florida;SI;VoIP;Cisco SPA 303;0,12;5;0,6;3
01/09/2024;Hauts-De-France;SI;Mobile;LG G4;0,12;45;5,4;4
01/04/2024;Saskatchewan;Direction;Fixe;Alcatel Versatis;0,11;25;2,75;4
01/09/2023;New;Mexico;Fixe;Logicom Nova 350;0,11;20;2,2;9
01/04/2024;Irlande;du;Fixe;Logicom Nova 350;0,09;10;0,9;3
01/10/2024;Nunavut;SI;VoIP;Cisco SPA 303;0,11;15;1,65;8
01/02/2023;Montana;Finance;Fixe;Alcatel Versatis;0,1;70;7;3
01/11/2023;Hauts-De-France;RH;Fixe;Logicom Nova 350;0,12;5;0,6;6
01/06/2021;New;Mexico;Mobile;LG G4;0,12;40;4,8;8
01/07/2022;Occitanie;Ventes;VoIP;Cisco SPA 303;0,1;35;3,5;5
01/11/2024;Saskatchewan;R&D;Fixe;Logicom Nova 350;0,12;40;4,8;9
01/03/2024;Manitoba;Finance;Mobile;Apple iPhone;0,11;75;8,25;4
01/04/2024;Colombie-Britannique;Achats;VoIP;Thomson st2030;0,12;20;2,4;5
01/09/2021;Missouri;Achats;Mobile;Samsung Galaxy;0,1;25;2,5;8
01/02/2021;Angleterre;Production;Mobile;Apple iPhone;0,09;70;6,3;8
01/04/2022;Texas;Ventes;Fixe;Alcatel Versatis;0,12;35;4,2;2
01/09/2021;Indiana;RH;Mobile;Apple iPhone;0,11;50;5,5;7
01/01/2023;Angleterre;Achats;Fixe;Alcatel Versatis;0,1;25;2,5;4
01/06/2021;Nouvelle-Aquitaine;Finance;Fixe;Logicom Nova 350;0,1;70;7;9
01/12/2024;Rhode;Island;Mobile;Samsung Galaxy;0,1;45;4,5;6
01/06/2024;Centre-Val;de;Mobile;Apple iPhone;0,12;15;1,8;4
01/05/2024;Maine;RH;Mobile;LG G4;0,11;65;7,15;9
01/08/2021;Irlande;du;Mobile;LG G4;0,09;45;4,05;2
01/11/2024;Michigan;Finance;Mobile;Samsung Galaxy;0,09;15;1,35;2
01/11/2024;Wyoming;SI;Mobile;Samsung Galaxy;0,12;15;1,8;6
01/06/2023;Mississippi;Production;Mobile;LG G4;0,09;35;3,15;4
01/09/2021;Manitoba;Marketing;VoIP;Thomson st2030;0,12;15;1,8;10
01/05/2021;Oklahoma;Juridique;Fixe;Logicom Nova 350;0,11;60;6,6;6
01/05/2024;Nouvelle-Aquitaine;Ventes;VoIP;Thomson st3030;0,09;45;4,05;9
01/04/2024;Normandie;Finance;Mobile;LG G4;0,12;5;0,6;8
01/02/2021;Bourgogne-Franche-Comté;Juridique;Fixe;Siemens Gigaset a400;0,11;25;2,75;5
01/11/2023;Delaware;Achats;Fixe;Logicom Nova 350;0,12;40;4,8;6
01/06/2024;Arizona;Finance;VoIP;Thomson st3030;0,12;5;0,6;6
01/03/2023;South;Carolina;VoIP;Cisco SPA 303;0,11;35;3,85;4
01/10/2023;Connecticut;Direction;Fixe;Logicom Nova 350;0,12;10;1,2;5
01/05/2024;Vermont;Juridique;VoIP;Thomson st2030;0,09;70;6,3;3
01/08/2024;Bourgogne-Franche-Comté;Marketing;Mobile;Apple iPhone;0,11;45;4,95;3
01/01/2023;Grand;Est;Mobile;Samsung Galaxy;0,09;60;5,4;4
01/11/2024;Nouvelle-Aquitaine;Ventes;VoIP;Thomson st2030;0,09;70;6,3;5
01/12/2023;Auvergne-Rhône-Alpes;R&D;Mobile;LG G4;0,12;55;6,6;2
01/05/2021;Louisiana;Juridique;Fixe;Logicom Nova 350;0,09;5;0,45;8
01/04/2023;Bourgogne-Franche-Comté;Production;VoIP;Thomson st3030;0,11;30;3,3;9
01/06/2021;Delaware;Ventes;Fixe;Siemens Gigaset a400;0,11;70;7,7;5
01/01/2024;Kentucky;Achats;Fixe;Alcatel Versatis;0,09;10;0,9;5
01/05/2024;Washington;Marketing;Mobile;Apple iPhone;0,11;65;7,15;9
01/11/2023;Nebraska;Production;Fixe;Logicom Nova 350;0,09;55;4,95;9
01/08/2023;Ohio;Achats;Fixe;Alcatel Versatis;0,1;60;6;5
01/06/2021;Terre-Neuve-et-Labrador;Finance;Mobile;Samsung Galaxy;0,1;30;3;10
01/09/2022;Maine;Marketing;Fixe;Siemens Gigaset a400;0,09;25;2,25;10
01/01/2024;North;Dakota;Mobile;LG G4;0,09;75;6,75;6
01/11/2021;Nouvelle-Aquitaine;Achats;Fixe;Siemens Gigaset a400;0,09;35;3,15;3
01/02/2024;Delaware;RH;VoIP;Thomson st2030;0,1;60;6;2
01/09/2023;Hauts-De-France;Juridique;Mobile;LG G4;0,11;45;4,95;5
01/04/2023;Wyoming;Juridique;Mobile;Apple iPhone;0,09;15;1,35;6
01/06/2024;Auvergne-Rhône-Alpes;R&D;Fixe;Alcatel Versatis;0,1;50;5;3
01/08/2023;New;Mexico;Mobile;LG G4;0,12;10;1,2;5
01/08/2024;Grand;Est;VoIP;Thomson st3030;0,1;70;7;4
01/02/2021;Manitoba;R&D;Fixe;Siemens Gigaset a400;0,11;25;2,75;7
01/05/2024;Nunavut;Marketing;VoIP;Thomson st3030;0,12;35;4,2;9
01/10/2021;Connecticut;Finance;VoIP;Cisco SPA 303;0,11;60;6,6;5
01/06/2023;Nouvelle-Aquitaine;SI;Mobile;Samsung Galaxy;0,09;35;3,15;3
01/09/2022;Tennessee;Achats;Fixe;Siemens Gigaset a400;0,12;35;4,2;9
01/07/2024;Washington;Juridique;VoIP;Cisco SPA 303;0,1;5;0,5;3
01/10/2022;New;Jersey;Mobile;LG G4;0,1;60;6;5
01/02/2021;Ohio;Production;Mobile;Apple iPhone;0,11;55;6,05;8
01/06/2021;Minnesota;Juridique;VoIP;Thomson st3030;0,12;55;6,6;9
01/03/2021;Oklahoma;Finance;Fixe;Siemens Gigaset a400;0,11;5;0,55;6
01/09/2023;Idaho;Production;Fixe;Logicom Nova 350;0,1;75;7,5;9
01/01/2022;Massachusetts;Finance;Fixe;Logicom Nova 350;0,12;25;3;7
01/06/2022;Nevada;Production;VoIP;Thomson st2030;0,1;70;7;6
01/12/2022;California;RH;Mobile;Samsung Galaxy;0,12;40;4,8;4
01/12/2023;Alberta;SI;Fixe;Alcatel Versatis;0,09;45;4,05;2
01/04/2022;Rhode;Island;VoIP;Thomson st3030;0,09;15;1,35;9
01/11/2021;Occitanie;Ventes;Fixe;Logicom Nova 350;0,09;35;3,15;2
01/02/2021;Normandie;Ventes;VoIP;Thomson st3030;0,11;55;6,05;4
01/11/2022;Auvergne-Rhône-Alpes;Production;Mobile;Samsung Galaxy;0,11;55;6,05;6
01/01/2022;Massachusetts;RH;Mobile;LG G4;0,1;15;1,5;8
01/11/2022;Wisconsin;Achats;VoIP;Thomson st3030;0,1;45;4,5;4
01/12/2022;Nouvelle-Aquitaine;Ventes;VoIP;Thomson st2030;0,1;10;1;5
01/04/2021;North;Dakota;Fixe;Logicom Nova 350;0,09;70;6,3;10
01/09/2024;Washington;Production;VoIP;Cisco SPA 303;0,12;40;4,8;10
01/09/2021;Wisconsin;Direction;Mobile;LG G4;0,1;20;2;7
01/01/2021;Bourgogne-Franche-Comté;Ventes;Fixe;Siemens Gigaset a400;0,09;30;2,7;6
01/01/2023;New;York;Mobile;Samsung Galaxy;0,11;65;7,15;5
01/03/2024;Virginia;RH;Mobile;Apple iPhone;0,09;20;1,8;10
01/07/2024;Virginia;Production;Mobile;Samsung Galaxy;0,1;60;6;3
01/07/2021;Nouvelle-Aquitaine;Ventes;Fixe;Alcatel Versatis;0,11;40;4,4;10
01/05/2021;Oklahoma;Ventes;Mobile;Apple iPhone;0,11;50;5,5;4
01/11/2021;Colorado;Marketing;Mobile;LG G4;0,09;75;6,75;10
01/06/2023;Grand;Est;Mobile;Samsung Galaxy;0,11;45;4,95;10
01/02/2024;Nouvelle-Aquitaine;Marketing;Mobile;Apple iPhone;0,12;15;1,8;10
01/12/2022;Territoires;du;Mobile;Samsung Galaxy;0,1;35;3,5;10
01/07/2024;Mississippi;Direction;VoIP;Thomson st2030;0,1;15;1,5;9
01/04/2023;Wyoming;SI;VoIP;Cisco SPA 303;0,09;35;3,15;5
01/09/2022;Angleterre;Ventes;Fixe;Alcatel Versatis;0,11;10;1,1;4
01/06/2024;Indiana;Production;Mobile;Samsung Galaxy;0,11;15;1,65;10
01/07/2021;Nevada;Marketing;VoIP;Cisco SPA 303;0,1;75;7,5;3
01/04/2023;Arkansas;Achats;Fixe;Logicom Nova 350;0,1;25;2,5;7
01/05/2024;Hauts-De-France;Production;VoIP;Thomson st3030;0,12;20;2,4;9
01/01/2024;Nunavut;Finance;VoIP;Thomson st3030;0,12;75;9;7
01/08/2021;New;Mexico;VoIP;Cisco SPA 303;0,09;50;4,5;9
01/02/2021;Missouri;Direction;Mobile;LG G4;0,12;20;2,4;5
01/04/2023;Bourgogne-Franche-Comté;Marketing;Mobile;LG G4;0,1;10;1;5
01/05/2021;Alberta;Production;Fixe;Logicom Nova 350;0,11;40;4,4;6
01/07/2022;Pays;de;Mobile;Apple iPhone;0,1;55;5,5;3
01/08/2022;Nevada;RH;VoIP;Thomson st3030;0,12;40;4,8;6
01/02/2022;Bretagne;Marketing;Fixe;Alcatel Versatis;0,12;70;8,4;7
01/02/2024;Normandie;Direction;Mobile;Apple iPhone;0,1;25;2,5;9
01/09/2023;Louisiana;Direction;Fixe;Logicom Nova 350;0,11;35;3,85;2
01/11/2022;Rhode;Island;Mobile;Apple iPhone;0,1;30;3;8
01/08/2024;Grand;Est;Mobile;Samsung Galaxy;0,09;50;4,5;8
01/08/2024;West;Virginia;VoIP;Cisco SPA 303;0,09;20;1,8;7
01/01/2023;Nouvelle-Aquitaine;Direction;Fixe;Alcatel Versatis;0,1;75;7,5;9
01/03/2022;Pays;de;Mobile;Samsung Galaxy;0,1;15;1,5;6
01/10/2022;Pays;de;Fixe;Logicom Nova 350;0,12;75;9;10
01/08/2023;Territoires;du;Mobile;Apple iPhone;0,09;5;0,45;3
01/06/2022;Kentucky;R&D;VoIP;Thomson st2030;0,1;75;7,5;3
01/03/2021;Mississippi;Ventes;Mobile;Apple iPhone;0,1;10;1;2
01/11/2022;North;Dakota;Mobile;Samsung Galaxy;0,11;25;2,75;6
01/04/2023;Terre-Neuve-et-Labrador;Production;Mobile;Apple iPhone;0,12;50;6;9
01/06/2022;Écosse;Juridique;VoIP;Thomson st2030;0,1;45;4,5;4
01/07/2024;Oregon;Finance;VoIP;Cisco SPA 303;0,1;35;3,5;9
01/02/2022;Minnesota;Ventes;Mobile;Apple iPhone;0,11;75;8,25;3
01/11/2023;Kansas;R&D;Fixe;Logicom Nova 350;0,12;5;0,6;2
01/06/2024;Colorado;Finance;Fixe;Logicom Nova 350;0,12;50;6;8
01/12/2022;Kansas;RH;Fixe;Alcatel Versatis;0,11;15;1,65;4
01/03/2023;Occitanie;Ventes;Mobile;LG G4;0,1;35;3,5;8
01/11/2022;Hauts-De-France;RH;Fixe;Siemens Gigaset a400;0,12;45;5,4;5
01/08/2023;Georgia;Achats;VoIP;Thomson st2030;0,12;75;9;10
01/05/2021;North;Carolina;Fixe;Logicom Nova 350;0,11;55;6,05;3
01/06/2024;Nouvelle-Aquitaine;Ventes;Fixe;Alcatel Versatis;0,12;30;3,6;10
01/11/2022;Ontario;Juridique;Mobile;Samsung Galaxy;0,21;80;8,7;13
01/05/2023;Nunavut;Marketing;Mobile;Apple iPhone;0,09;30;2,7;4
01/05/2024;Normandie;Ventes;Mobile;LG G4;0,11;45;4,95;2
01/12/2024;Écosse;Achats;Fixe;Alcatel Versatis;0,1;65;6,5;8
01/07/2024;Michigan;Marketing;Mobile;Samsung Galaxy;0,12;35;4,2;8
01/01/2021;Texas;R&D;VoIP;Thomson st2030;0,11;15;1,65;3
01/09/2021;West;Virginia;Mobile;Apple iPhone;0,1;50;5;4
01/10/2021;Normandie;Juridique;Mobile;LG G4;0,12;45;5,4;7
01/07/2024;Washington;Achats;VoIP;Cisco SPA 303;0,11;55;6,05;2
01/05/2024;Auvergne-Rhône-Alpes;Direction;Mobile;Apple iPhone;0,09;10;0,9;3
01/11/2022;Massachusetts;Achats;VoIP;Cisco SPA 303;0,11;5;0,55;4
01/04/2021;Michigan;Achats;VoIP;Thomson st2030;0,09;10;0,9;2
01/12/2021;Arkansas;Juridique;Mobile;Apple iPhone;0,09;45;4,05;9
01/12/2023;Texas;Achats;Fixe;Siemens Gigaset a400;0,21;105;11,1;20
01/06/2021;Nouvelle-Aquitaine;Direction;Fixe;Siemens Gigaset a400;0,11;55;6,05;9
01/11/2022;Ohio;R&D;Mobile;Apple iPhone;0,09;40;3,6;10
01/12/2024;Grand;Est;Mobile;Apple iPhone;0,09;40;3,6;8
01/08/2021;Écosse;R&D;Mobile;Samsung Galaxy;0,12;35;4,2;6
01/06/2023;Bretagne;R&D;VoIP;Thomson st2030;0,09;45;4,05;2
01/07/2021;Minnesota;Production;Fixe;Siemens Gigaset a400;0,1;75;7,5;3
01/08/2024;Bourgogne-Franche-Comté;RH;Mobile;Samsung Galaxy;0,09;20;1,8;3
01/05/2021;Michigan;SI;Fixe;Logicom Nova 350;0,1;60;6;7
01/11/2023;Grand;Est;VoIP;Cisco SPA 303;0,1;50;5;10
01/01/2024;West;Virginia;VoIP;Cisco SPA 303;0,09;70;6,3;3
01/10/2023;Centre-Val;de;Mobile;Samsung Galaxy;0,12;50;6;7
01/03/2021;Grand;Est;Mobile;Apple iPhone;0,11;75;8,25;2
01/09/2022;Connecticut;SI;Mobile;Apple iPhone;0,1;30;3;7
01/12/2021;Nunavut;RH;VoIP;Cisco SPA 303;0,11;65;7,15;10
01/12/2021;Washington;Marketing;Mobile;Apple iPhone;0,11;45;4,95;9
01/10/2021;Saskatchewan;SI;Fixe;Alcatel Versatis;0,12;30;3,6;6
01/01/2021;Bourgogne-Franche-Comté;SI;VoIP;Cisco SPA 303;0,09;10;0,9;10
01/01/2021;Louisiana;RH;VoIP;Thomson st2030;0,1;40;4;9
01/09/2022;North;Dakota;Mobile;Apple iPhone;0,12;25;3;2
01/12/2021;Grand;Est;Mobile;LG G4;0,11;20;2,2;9
01/08/2021;Occitanie;Production;VoIP;Thomson st3030;0,18;115;10,35;4
01/07/2024;Ontario;Finance;Fixe;Siemens Gigaset a400;0,2;125;12,65;13
01/09/2023;Rhode;Island;Fixe;Siemens Gigaset a400;0,09;15;1,35;5
01/12/2023;Colombie-Britannique;Achats;Mobile;Samsung Galaxy;0,09;60;5,4;4
01/05/2023;Idaho;Achats;VoIP;Thomson st3030;0,1;15;1,5;5
01/09/2021;Grand;Est;VoIP;Thomson st2030;0,1;55;5,5;8
01/03/2022;Iowa;RH;VoIP;Thomson st3030;0,11;40;4,4;9
01/02/2024;Louisiana;Juridique;Fixe;Logicom Nova 350;0,11;70;7,7;3
01/11/2022;Kentucky;Marketing;VoIP;Thomson st2030;0,09;5;0,45;8
01/05/2021;Nouvelle-Aquitaine;Marketing;Mobile;Samsung Galaxy;0,12;70;8,4;2
01/03/2024;Louisiana;R&D;Fixe;Siemens Gigaset a400;0,12;5;0,6;4
01/11/2021;Connecticut;Achats;Mobile;LG G4;0,11;25;2,75;10
01/10/2022;Normandie;Marketing;Fixe;Alcatel Versatis;0,1;45;4,5;7
01/07/2022;Tennessee;Juridique;Fixe;Alcatel Versatis;0,12;20;2,4;5
01/03/2023;Occitanie;Juridique;Fixe;Alcatel Versatis;0,12;75;9;5
01/11/2021;Pennsylvania;Ventes;Fixe;Alcatel Versatis;0,09;30;2,7;4
01/06/2021;Bourgogne-Franche-Comté;Marketing;Mobile;Apple iPhone;0,09;25;2,25;7
01/09/2024;Normandie;Finance;Mobile;Apple iPhone;0,1;50;5;6
01/11/2024;Wyoming;Finance;Mobile;Samsung Galaxy;0,09;35;3,15;5
01/01/2022;Pays;de;Fixe;Logicom Nova 350;0,09;65;5,85;7
01/03/2022;Hauts-De-France;RH;Mobile;LG G4;0,11;65;7,15;3
01/01/2022;Grand;Est;Mobile;Apple iPhone;0,09;70;6,3;8
01/02/2023;Kentucky;Juridique;VoIP;Thomson st2030;0,1;5;0,5;8
01/06/2022;Oregon;RH;Mobile;LG G4;0,12;40;4,8;4
01/08/2022;Alabama;Marketing;Fixe;Siemens Gigaset a400;0,09;10;0,9;5
01/10/2023;Normandie;Production;Fixe;Siemens Gigaset a400;0,11;10;1,1;6
01/12/2023;Minnesota;Ventes;VoIP;Thomson st2030;0,12;75;9;9
01/12/2023;Pennsylvania;Finance;Fixe;Siemens Gigaset a400;0,1;60;6;10
01/08/2024;Mississippi;Ventes;VoIP;Thomson st3030;0,1;65;6,5;10
01/08/2023;Manitoba;Juridique;Fixe;Logicom Nova 350;0,12;15;1,8;7
01/05/2023;Ontario;Juridique;Fixe;Alcatel Versatis;0,11;35;3,85;8
01/05/2024;Terre-Neuve-et-Labrador;Finance;VoIP;Thomson st3030;0,12;70;8,4;10
01/10/2021;Hauts-De-France;Ventes;VoIP;Thomson st3030;0,12;5;0,6;7
01/02/2023;Alberta;Achats;VoIP;Cisco SPA 303;0,11;50;5,5;8
01/11/2021;Bourgogne-Franche-Comté;Achats;Mobile;Apple iPhone;0,1;70;7;4
01/06/2022;Auvergne-Rhône-Alpes;Ventes;VoIP;Cisco SPA 303;0,1;75;7,5;9
01/07/2024;New;Jersey;Fixe;Siemens Gigaset a400;0,12;70;8,4;2
01/10/2021;Maine;Marketing;VoIP;Thomson st3030;0,09;5;0,45;8
01/06/2022;Nouvelle-Aquitaine;Production;VoIP;Cisco SPA 303;0,09;45;4,05;2
01/03/2024;Arkansas;Ventes;Mobile;Apple iPhone;0,12;20;2,4;6
01/12/2021;Pays;de;Mobile;Apple iPhone;0,1;50;5;10
01/08/2021;Texas;Marketing;Mobile;Apple iPhone;0,1;70;7;6
01/11/2023;Ontario;Ventes;Mobile;Apple iPhone;0,12;70;8,4;10
01/03/2022;North;Dakota;Mobile;Apple iPhone;0,11;15;1,65;7
01/08/2021;Vermont;Ventes;Fixe;Siemens Gigaset a400;0,12;40;4,8;7
01/02/2022;Grand;Est;Fixe;Siemens Gigaset a400;0,12;10;1,2;4
01/03/2023;Nouvelle-Aquitaine;Finance;Fixe;Alcatel Versatis;0,12;20;2,4;9
01/01/2023;South;Dakota;VoIP;Cisco SPA 303;0,12;45;5,4;5
01/10/2024;North;Dakota;Fixe;Alcatel Versatis;0,09;50;4,5;9
01/09/2021;New;Hampshire;Mobile;LG G4;0,09;5;0,45;9
01/04/2021;South;Carolina;Fixe;Alcatel Versatis;0,1;20;2;4
01/06/2021;Georgia;SI;VoIP;Thomson st2030;0,11;5;0,55;4
01/11/2022;Indiana;R&D;Fixe;Logicom Nova 350;0,11;45;4,95;9
01/02/2024;North;Dakota;Fixe;Logicom Nova 350;0,1;70;7;4
01/11/2024;Nouvelle-Écosse;SI;Mobile;Apple iPhone;0,11;45;4,95;3
01/03/2021;Missouri;Juridique;Fixe;Logicom Nova 350;0,12;40;4,8;2
01/01/2023;Maryland;Achats;Fixe;Logicom Nova 350;0,09;10;0,9;9
01/04/2023;Île-du-Prince-Édouard;R&D;Mobile;Samsung Galaxy;0,1;35;3,5;3
01/04/2022;Alberta;Direction;VoIP;Thomson st3030;0,11;55;6,05;4
01/12/2022;Terre-Neuve-et-Labrador;Achats;VoIP;Thomson st3030;0,12;20;2,4;4
01/09/2021;Occitanie;Production;Mobile;Samsung Galaxy;0,12;45;5,4;4
01/06/2022;Terre-Neuve-et-Labrador;R&D;Fixe;Alcatel Versatis;0,09;15;1,35;4
01/01/2021;Hauts-De-France;Juridique;VoIP;Cisco SPA 303;0,1;40;4;8
01/06/2023;South;Dakota;VoIP;Cisco SPA 303;0,12;50;6;8
01/06/2023;Connecticut;RH;Fixe;Siemens Gigaset a400;0,11;65;7,15;2
01/12/2022;Texas;Production;Mobile;LG G4;0,1;50;5;10
01/04/2022;Illinois;Achats;VoIP;Cisco SPA 303;0,11;30;3,3;5
01/12/2023;Pays;de;Mobile;Apple iPhone;0,12;35;4,2;10
01/05/2021;Occitanie;SI;Mobile;Apple iPhone;0,12;60;7,2;6
01/01/2021;Nouvelle-Aquitaine;RH;Fixe;Siemens Gigaset a400;0,1;40;4;10
01/10/2022;Delaware;Direction;Mobile;Apple iPhone;0,12;35;4,2;6
01/12/2023;Maine;R&D;Mobile;Apple iPhone;0,1;65;6,5;4
01/02/2022;Colombie-Britannique;Juridique;Mobile;Apple iPhone;0,12;70;8,4;8
01/04/2024;Île-du-Prince-Édouard;SI;Mobile;LG G4;0,12;35;4,2;2
01/01/2024;New;Mexico;Mobile;Apple iPhone;0,1;35;3,5;3
01/04/2021;Vermont;RH;Fixe;Logicom Nova 350;0,1;5;0,5;5
01/08/2022;Saskatchewan;Marketing;VoIP;Thomson st2030;0,1;75;7,5;10
01/05/2024;Nunavut;R&D;Mobile;Samsung Galaxy;0,12;60;7,2;7
01/08/2023;New;Hampshire;Mobile;Apple iPhone;0,12;25;3;4
01/04/2022;Missouri;Juridique;VoIP;Thomson st2030;0,12;65;7,8;8
01/09/2022;Louisiana;Marketing;Fixe;Siemens Gigaset a400;0,11;45;4,95;7
01/04/2024;Michigan;R&D;Fixe;Alcatel Versatis;0,09;40;3,6;9
01/07/2021;Maine;RH;VoIP;Thomson st3030;0,11;50;5,5;8
01/09/2021;Pays;de;Mobile;Samsung Galaxy;0,12;20;2,4;8
01/05/2021;Nebraska;Finance;Mobile;Apple iPhone;0,12;75;9;6
01/10/2022;Wisconsin;R&D;VoIP;Cisco SPA 303;0,1;50;5;7
01/12/2024;Colorado;SI;VoIP;Thomson st2030;0,11;75;8,25;2
01/04/2024;Minnesota;Production;Mobile;LG G4;0,12;20;2,4;3
01/06/2022;Hauts-De-France;Production;Mobile;LG G4;0,11;15;1,65;9
01/07/2023;Hawaii;Marketing;VoIP;Cisco SPA 303;0,12;75;9;3
01/07/2021;Nouvelle-Aquitaine;Direction;Fixe;Alcatel Versatis;0,1;55;5,5;2
01/06/2022;New;Mexico;Fixe;Logicom Nova 350;0,12;10;1,2;8
01/07/2022;South;Carolina;Mobile;Samsung Galaxy;0,09;70;6,3;7
01/08/2021;Minnesota;SI;Mobile;LG G4;0,1;30;3;7
01/09/2023;Bourgogne-Franche-Comté;RH;Mobile;Apple iPhone;0,09;25;2,25;8
01/10/2022;Minnesota;SI;Mobile;LG G4;0,12;45;5,4;4
01/09/2024;Alberta;RH;Mobile;LG G4;0,1;20;2;10
01/09/2022;Bretagne;Ventes;Fixe;Siemens Gigaset a400;0,09;40;3,6;9
01/09/2024;Terre-Neuve-et-Labrador;Achats;Mobile;LG G4;0,09;55;4,95;7
01/06/2021;California;Direction;Mobile;LG G4;0,1;75;7,5;4
01/11/2024;Oklahoma;Finance;VoIP;Thomson st3030;0,09;40;3,6;9
01/12/2024;Occitanie;RH;Mobile;Samsung Galaxy;0,12;20;2,4;8
01/06/2024;Grand;Est;Fixe;Alcatel Versatis;0,09;15;1,35;8
01/01/2022;Territoires;du;VoIP;Thomson st2030;0,09;25;2,25;2
01/08/2022;Bretagne;Achats;Mobile;Apple iPhone;0,11;5;0,55;7
01/05/2022;Nebraska;Juridique;Mobile;Samsung Galaxy;0,11;40;4,4;8
01/05/2024;Alaska;SI;Mobile;Samsung Galaxy;0,12;5;0,6;9
01/07/2023;Île-de-France;Ventes;Mobile;LG G4;0,09;20;1,8;6
01/09/2023;Louisiana;R&D;Fixe;Logicom Nova 350;0,1;40;4;2
01/03/2022;Minnesota;SI;Mobile;Apple iPhone;0,12;20;2,4;2
01/01/2023;Vermont;Achats;Mobile;Samsung Galaxy;0,09;10;0,9;9
01/01/2022;Texas;Achats;Mobile;Samsung Galaxy;0,11;50;5,5;2
01/10/2023;Pennsylvania;Juridique;Fixe;Logicom Nova 350;0,11;70;7,7;8
01/01/2024;Nunavut;RH;Fixe;Logicom Nova 350;0,1;10;1;6
01/02/2022;Alabama;SI;VoIP;Thomson st3030;0,11;60;6,6;5
01/04/2022;Centre-Val;de;VoIP;Thomson st3030;0,09;30;2,7;3
01/05/2023;Nunavut;Finance;Mobile;LG G4;0,12;45;5,4;4
01/01/2023;Yukon;Achats;Fixe;Siemens Gigaset a400;0,11;25;2,75;3
01/09/2021;Yukon;Direction;Mobile;Apple iPhone;0,09;70;6,3;3
01/09/2023;Bretagne;R&D;Mobile;LG G4;0,12;70;8,4;2
01/08/2022;Hauts-De-France;Juridique;Mobile;LG G4;0,11;35;3,85;7
01/10/2021;Occitanie;Ventes;Mobile;LG G4;0,09;25;2,25;8
01/12/2023;Michigan;Marketing;Fixe;Logicom Nova 350;0,12;15;1,8;2
01/11/2024;Normandie;RH;Fixe;Logicom Nova 350;0,12;5;0,6;4
01/04/2023;Arizona;Finance;Mobile;LG G4;0,1;70;7;7
01/08/2022;Alabama;Production;Mobile;Samsung Galaxy;0,1;15;1,5;7
01/06/2022;Oklahoma;RH;VoIP;Cisco SPA 303;0,1;40;4;3
01/08/2023;Delaware;Finance;VoIP;Thomson st2030;0,12;20;2,4;3
01/10/2024;Wisconsin;RH;VoIP;Thomson st2030;0,11;75;8,25;10
01/06/2022;Grand;Est;VoIP;Cisco SPA 303;0,12;65;7,8;6
01/03/2023;Virginia;SI;Mobile;Samsung Galaxy;0,09;70;6,3;10
01/03/2024;Connecticut;Marketing;VoIP;Cisco SPA 303;0,12;15;1,8;4
01/05/2021;Illinois;RH;Fixe;Alcatel Versatis;0,12;40;4,8;8
01/11/2021;Grand;Est;VoIP;Thomson st3030;0,1;55;5,5;8
01/10/2023;Territoires;du;VoIP;Cisco SPA 303;0,09;35;3,15;8
01/03/2022;Nouvelle-Aquitaine;SI;VoIP;Cisco SPA 303;0,12;10;1,2;3
